id,domain,term,context_en,expected_sense_label,notes
AI-001,AI/CS,model,We trained a model on 1M records and evaluated it on a held-out test set.,model (ML),
AI-002,AI/CS,training,The training loop converged after 12 epochs with a lower validation loss.,training (ML process),
AI-003,AI/CS,inference,We optimized inference latency to under 50 ms per request in production.,inference (serving prediction),
AI-004,AI/CS,pipeline,The feature engineering step in our ML pipeline runs nightly.,pipeline (ML workflow),
AI-005,AI/CS,token,The tokenizer splits 'chatbots' into two tokens in our BPE scheme.,token (NLP unit),
AI-006,AI/CS,embedding,We stored each sentence embedding in a vector index for retrieval.,embedding (vector representation),
AI-007,AI/CS,gradient,The exploding gradient was mitigated by clipping at 1.0.,gradient (backprop signal),
AI-008,AI/CS,overfitting,Early stopping was used to reduce overfitting on the training set.,overfitting (poor generalization),
AI-009,AI/CS,regularization,L2 regularization helped prevent the weights from growing too large.,regularization (reduce overfit),
AI-010,AI/CS,feature,We added a time-of-day feature to capture user activity patterns.,feature (input variable),
AI-011,AI/CS,label,"The label is 1 if the user churned within 30 days, otherwise 0.",label (target variable),
AI-012,AI/CS,recall,We prioritized recall to capture as many fraud cases as possible.,recall (metric sensitivity),
AI-013,AI/CS,precision,Increasing the threshold improved precision but reduced recall.,precision (metric positive predictive value),
AI-014,AI/CS,roc,The ROC AUC improved from 0.71 to 0.78 after tuning.,ROC curve (metric),
AI-015,AI/CS,optimizer,Adam optimizer outperformed SGD on this non-convex loss.,optimizer (parameter update algorithm),
AI-016,AI/CS,loss function,We switched from MSE to MAE as the loss function for robustness.,loss function (objective),
AI-017,AI/CS,backpropagation,Backpropagation computes gradients layer by layer using the chain rule.,backpropagation (training algorithm),
AI-018,AI/CS,epoch,Validation accuracy peaked at the fifth epoch.,epoch (full pass over data),
AI-019,AI/CS,batch size,A batch size of 128 fit within 12 GB of GPU memory.,batch size (minibatch size),
AI-020,AI/CS,learning rate,We used a cosine decay schedule for the learning rate.,learning rate (step size),
AI-021,AI/CS,cross-validation,We used 5-fold cross-validation to estimate generalization error.,cross-validation (evaluation technique),
AI-022,AI/CS,dropout,Adding 0.2 dropout reduced overfitting in the dense layers.,dropout (regularization technique),
AI-023,AI/CS,bias-variance,The model exhibited high variance and low bias on the diagnostic plot.,bias-variance tradeoff (generalization),
AI-024,AI/CS,confusion matrix,The confusion matrix revealed many false negatives.,confusion matrix (metric table),
AI-025,AI/CS,transformer,The transformer encoder handled long-range dependencies well.,transformer (architecture),
AI-026,AI/CS,attention,Scaled dot-product attention improved sequence modeling.,attention (mechanism),
AI-027,AI/CS,tokenization,We switched tokenization from WordPiece to SentencePiece.,tokenization (NLP preprocessing),
AI-028,AI/CS,RAG,RAG reduced hallucinations by grounding answers in documents.,RAG (retrieval-augmented generation),
AI-029,AI/CS,vector index,We used FAISS as the vector index for nearest-neighbor search.,vector index (ANN datastore),
AI-030,AI/CS,cosine similarity,We ranked passages by cosine similarity to the query embedding.,cosine similarity (vector metric),
